DateTime,ItemCode,ItemName,CategoryCode,CategoryName,QuantityKg,UnitPrice,WholesalePrice,LossRate,QuantityCluster,Margin,NetMargin,MarginRate,Margin_Loss_Ratio_pct,ClusterLabel,Date
2020-07-01 16:27:36.983,0,Amaranth,0,Flower/Leaf Vegetables,0.92,6.0,3.88,18.52,0,2.12,1.727376,546.3917525773196,2950.279441562201,Vente 1,2020-07-01
2020-07-03 09:19:18.438,0,Amaranth,0,Flower/Leaf Vegetables,0.886,6.0,3.88,18.52,0,2.12,1.727376,546.3917525773196,2950.279441562201,Vente 1,2020-07-03
2020-07-09 09:54:40.682,0,Amaranth,0,Flower/Leaf Vegetables,0.944,5.0,3.88,18.52,0,1.12,0.912576,288.65979381443304,1558.638195542295,Vente 1,2020-07-09
2020-07-12 10:38:15.217,0,Amaranth,0,Flower/Leaf Vegetables,1.044,5.0,3.88,18.52,0,1.12,0.912576,288.65979381443304,1558.638195542295,Vente 1,2020-07-12
2020-07-23 11:25:53.623,0,Amaranth,0,Flower/Leaf Vegetables,0.95,7.6,3.88,18.52,0,3.7199999999999998,3.0310559999999995,958.7628865979381,5176.90543519405,Vente 1,2020-07-23
2020-07-25 11:46:16.389,0,Amaranth,0,Flower/Leaf Vegetables,0.931,7.0,3.88,18.52,0,3.12,2.542176,804.1237113402062,4341.920687582106,Vente 1,2020-07-25
2020-07-26 10:12:42.452,0,Amaranth,0,Flower/Leaf Vegetables,0.788,7.0,3.88,18.52,0,3.12,2.542176,804.1237113402062,4341.920687582106,Vente 1,2020-07-26
2020-07-28 14:41:47.951,0,Amaranth,0,Flower/Leaf Vegetables,0.831,7.0,3.88,18.52,0,3.12,2.542176,804.1237113402062,4341.920687582106,Vente 1,2020-07-28
2020-08-03 12:08:00.123,0,Amaranth,0,Flower/Leaf Vegetables,0.94,8.0,3.88,18.52,0,4.12,3.356976,1061.8556701030927,5733.561933602013,Vente 1,2020-08-03
2020-08-05 15:43:40.014,0,Amaranth,0,Flower/Leaf Vegetables,0.802,8.0,3.88,18.52,0,4.12,3.356976,1061.8556701030927,5733.561933602013,Vente 1,2020-08-05
2020-08-07 15:14:25.530,0,Amaranth,0,Flower/Leaf Vegetables,0.759,7.0,3.88,18.52,0,3.12,2.542176,804.1237113402062,4341.920687582106,Vente 1,2020-08-07
2020-08-13 10:33:55.498,0,Amaranth,0,Flower/Leaf Vegetables,0.771,5.6,3.88,18.52,0,1.7199999999999998,1.4014559999999998,443.2989690721649,2393.622943154238,Vente 1,2020-08-13
2020-08-13 11:20:08.545,0,Amaranth,0,Flower/Leaf Vegetables,0.878,5.6,3.88,18.52,0,1.7199999999999998,1.4014559999999998,443.2989690721649,2393.622943154238,Vente 1,2020-08-13
2020-08-14 15:39:54.936,0,Amaranth,0,Flower/Leaf Vegetables,0.743,5.0,3.88,18.52,0,1.12,0.912576,288.65979381443304,1558.638195542295,Vente 1,2020-08-14
2020-08-16 10:41:28.084,0,Amaranth,0,Flower/Leaf Vegetables,0.843,5.0,3.88,18.52,0,1.12,0.912576,288.65979381443304,1558.638195542295,Vente 1,2020-08-16
2020-08-25 11:11:11.170,0,Amaranth,0,Flower/Leaf Vegetables,0.914,5.6,3.88,18.52,0,1.7199999999999998,1.4014559999999998,443.2989690721649,2393.622943154238,Vente 1,2020-08-25
2020-08-29 18:35:26.064,0,Amaranth,0,Flower/Leaf Vegetables,0.903,6.0,3.88,18.52,0,2.12,1.727376,546.3917525773196,2950.279441562201,Vente 1,2020-08-29
2020-08-30 11:32:20.516,0,Amaranth,0,Flower/Leaf Vegetables,0.803,6.0,3.88,18.52,0,2.12,1.727376,546.3917525773196,2950.279441562201,Vente 1,2020-08-30
2020-09-05 12:23:27.342,0,Amaranth,0,Flower/Leaf Vegetables,1.034,3.6,3.88,18.52,0,-0.2799999999999998,-0.22814399999999982,-72.1649484536082,-389.6595488855735,Vente 1,2020-09-05
2020-09-09 10:54:16.871,0,Amaranth,0,Flower/Leaf Vegetables,0.852,4.6,3.88,18.52,0,0.7199999999999998,0.5866559999999997,185.5670103092783,1001.9816971343321,Vente 1,2020-09-09
2020-09-09 20:24:18.031,0,Amaranth,0,Flower/Leaf Vegetables,0.939,4.6,3.88,18.52,0,0.7199999999999998,0.5866559999999997,185.5670103092783,1001.9816971343321,Vente 1,2020-09-09
2020-09-11 10:28:34.342,0,Amaranth,0,Flower/Leaf Vegetables,1.07,4.6,3.88,18.52,0,0.7199999999999998,0.5866559999999997,185.5670103092783,1001.9816971343321,Vente 1,2020-09-11
2020-09-17 13:02:34.108,0,Amaranth,0,Flower/Leaf Vegetables,0.864,5.0,3.88,18.52,0,1.12,0.912576,288.65979381443304,1558.638195542295,Vente 1,2020-09-17
2020-09-18 11:18:11.851,0,Amaranth,0,Flower/Leaf Vegetables,0.964,5.0,3.88,18.52,0,1.12,0.912576,288.65979381443304,1558.638195542295,Vente 1,2020-09-18
2020-09-20 18:07:26.376,0,Amaranth,0,Flower/Leaf Vegetables,0.819,6.0,3.88,18.52,0,2.12,1.727376,546.3917525773196,2950.279441562201,Vente 1,2020-09-20
2020-09-24 14:26:17.172,0,Amaranth,0,Flower/Leaf Vegetables,0.842,10.0,3.88,18.52,0,6.12,4.9865759999999995,1577.3195876288662,8516.844425641826,Vente 1,2020-09-24
2020-09-29 20:01:32.842,0,Amaranth,0,Flower/Leaf Vegetables,0.754,4.0,3.88,18.52,0,0.1200000000000001,0.09777600000000009,30.92783505154642,166.9969495223889,Vente 1,2020-09-29
